,shopname,description,web,adress,district,neighbourhood,location,type,timetable,photo,product_list,phone
870,Merceria Santa Ana. Detall S.A,"Merceria amb més de 80 anys d’experiència en venda de botons, gomes i altres a granel, cremelleres i cintes per metre, roba a mitja o de cotó orgànic i tot allò que es pugui necessitar per arreglar roba o fer-ne de nova. ",http://www.merceriasantaana.com/,"Carrer de les Moles, 22",Ciutat Vella,Barri Gòtic,"('41,38728200', '2,17293390')",bakery,,,,
871,Visual Poetry Barcelona - El Born,"Dissenys de poesia visual pensats i fabricats a Barcelona amb teixits de cotó orgànic certificat en forma de samarretes, vestits, bosses i altres productes per a tota la família. ",https://visualpoetrybarcelona.com/,"Carrer del Rec, 40",Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","('41,38478360', '2,18305980')",local food,,,,
872,Molsa Ecovita,"Supermercat ecològic on podrem trobar alimentació, cosmètica bio i natural, productes a granel i un molt bon assessorament personalitzat. ",http://molsa.bio,"Avinguda de Madrid, 128",Sants - Montjuïc,Sants,"('41,37952800', '2,12967360')",local food,,,,
874,Olimar,"Botiga de productes de proximitat especialitzats en xocolates, vins, olis d'oliva i cosmètics, entre altres. ",,"Carrer de Sant Pere Més Alt, 24",Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","('41,38790700', '2,17632290')",alimentation,,,,
883,Idyllica,Botiga especialitzada en vins i productes gourmet. Entre la seva oferta podem trobar grans vins catalans i alguns ecològics. ,http://www.idyllica.es/,"Rambla del Prat, 11",Gràcia,Vila de Gràcia,"('41,40146470', '2,15217420')",bakery,,,,
884,Rollitoasí,Botiga de roba i complements coloristes la majoria fets a Barcelona i rodalies de forma sostenible. Tots els productes que ofereixen provenen de petits tallers que segueixen els principis del comerç just. ,https://rollitoasi.com,"Travessera de Gràcia, 141",Gràcia,Vila de Gràcia,"('41,40067740', '2,15659340')",alimentation,,,,
885,Vegere. Bellesa vegana,"A Vegere aposten per un concepte de bellesa diferent, utilitzant productes de qualitat, responsables amb la vida, el més orgànics possibles i amb el distintiu ""Cruelty free"", és a dir, que no estàn relacionats amb l'explotació animal. Només treballen amb marques que garanteixin que són 100% veganes, amb princips actius ecològics d'extractes vegetals, i tots els productes estan lliures d'ingredients sintètics, parabens, derivats del petroli, pesticides, OMG, silicones, ftalats i bisfenol-A. Ara també han incorporat la venta de henna natural a granel, i és que a Vegere no paren de renovar-se.<br />
 ",http://vegere.es/,"Carrer de Ramón y Cajal, 32",Gràcia,Vila de Gràcia,"('41,40247480', '2,15878080')",restaurant,,,,
886,El Celler de la Ribera,"Bodega on trobar cervesa artesanal, vins i altres licors a granel, a més de vins ecològics i de proximitat embotellats i menjar gourmet. ",https://www.elcellerdelaribera.com,"Carrer del Cigne, 12",Gràcia,Vila de Gràcia,"('41,40060610', '2,15379990')",alimentation,,,,
887,Solo nuts,"Tot tipus de productes a granel com fruit secs, fruita deshidratada sense sucre, cereals, llavors, espècies, bolets secs i en pols, herbes... T'esperem! ",http://solonuts.es/,"Carrer de Còrsega, 512",Gràcia,Camp d'en Grassot i Gràcia Nova,"('41,40500640', '2,17098310')",vegan food,,,,
888,Llegums Cardona,"Comerç especialitzat en venda de llegums cuits i crus, fruits secs, espècies, herbes aromàtiques a l'engròs. ",,"Carrer de la Indústria, 4",Gràcia,Camp d'en Grassot i Gràcia Nova,"('41,40189550', '2,16465300')",bakery,,,,
889,Re-Read,Compra i venda de llibres de segona mà,https://www.re-read.com/,"Passeig de Sant Joan, 152",Gràcia,Camp d'en Grassot i Gràcia Nova,"('41,40219550', '2,16631540')",local food,,,,
890,Carnisseria Lack,"Petit comerç familiar dedicat a tots tipus de carns de qualitat, derivats i complements tot de terres catalanes. ",,"Carrer de Roger de Flor, 259",Gràcia,Camp d'en Grassot i Gràcia Nova,"('41,40324070', '2,16660810')",others,,,,
891,Aktual estilistes,"Saló unisex que treballa amb productes naturals amb certificat ecològic (xampús, tractaments sense sulfats ni parabens, tints de quinoa, etc). ",,"Carrer de Bailèn, 224",Gràcia,Camp d'en Grassot i Gràcia Nova,"('41,40263780', '2,16336940')",supermarket,,,,
892,Forn Europa,"Forn especialitzat en pans especials, espelta i baix contingut en gluten. Tots els pans i les pastes són fets a l'obrador propi amb farines de Girona i alguna d'elles ecològica. ",http://www.forneuropa.es/,"Carrer del Pare Laínez, 13",Gràcia,Camp d'en Grassot i Gràcia Nova,"('41,40657650', '2,16460740')",beverages,,,,
893,Aquí y ahora,"Perruqueria on s'ofereixen productes biològics d'elaboració pròpia, a més d'un espai on relaxar-se i gaudir mentre ens posen bonics. ",,"Travessera de Gràcia, 264",Gràcia,Camp d'en Grassot i Gràcia Nova,"('41,40609540', '2,16579350')",others,,,,
894,Ferreteria Collado,"Material de ferreteria, electricitat, fontaneria, pintura ecològica.. Hi podem trobar cargols a l'engròs, elements reutilitzables i que permeten reduir residus, paelles ecològiques, entre altres. ",,"Carrer de l'Escorial, 112",Gràcia,Camp d'en Grassot i Gràcia Nova,"('41,40876340', '2,16009570')",vegan food,,,,
895,Molsa l'Estel,"Rebost de salut on podrem trobar alimentació ecològica de proximitat, cosmètica ecològica.. ",http://bioconsum.com/,"Carrer de Pi i Margall, 39",Gràcia,Camp d'en Grassot i Gràcia Nova,"('41,40812850', '2,16352520')",supermarket,,,,
896,Vinalium (Pi i Maragall),"Vins, caves i licors amb oferta ecològica, de proximitat i a granel",http://www.vinalium.es/,"Carrer de Pi i Margall, 33",Gràcia,Camp d'en Grassot i Gràcia Nova,"('41,40790120', '2,16336160')",green space,,,,
897,Aúpali,"Botiga de criança respectuosa especialitzada en 0-6 anys on podem trobar joguines de fusta, portanadons orgànics, bolquers de roba, copes menstruals i altres productes.",http://www.aupaliportabebes.com/,"Carrer de la Tradició, 5",Sarrià - Sant Gervasi,Sarrià,"('41,39629430', '2,12552440')",supermarket,,,,
902,Biovet,"Espai que uneix veterinària convencional amb els tractaments naturals i complementaris per a animals<br />
<br />
Biovet és un programa d'atenció familiar a animals domèstics que fusiona les virtuts de la medicina convencional amb les teràpies naturals i complementàries, en casos on la alopatía no troba la sanació.<br />
<br />
Entre els seus serveis compta amb una botiga on es poden trobar productes, medicines i aliments lliures de químics prioritzant els productes locals i de proximitat. Ofereixen una àmplia gamma de Menús Naturals frescos i nutricionalment equilibrats per a gossos i gats.",https://biovet.es/,"Carrer d'Osi, 52",Sarrià - Sant Gervasi,Sarrià,"('41,39653700', '2,12154730')",green space,,,,
915,Corkland - Bosses de suro i regals,"A Corkland hem triat el SURO (únicament el d'alta qualitat) com un nou concepte de moda sostenible per poder portar alguna cosa diferent, original, exclusiva, 100% ecològica i feta artesanalment. Una bossa de suro, bijuteria de suro, complements de suro o algun regal de suro que es diferenciï de tota la resta. Us sorprendrà poder veure a la nostra botiga la gran quantitat de complements de moda que es poden arribar a realitzar amb teixit de suro, que al contrari del que pugui semblar, és suau, impermeable, molt lleuger de portar i es pot netejar fàcilment amb aigua i sabó neutre. També us explicarem com des de l'escorça de l'arbre després de tot un procés de gran elaboració, finalment acaba sent un article de moda sostenible, respectant l'arbre i evitant la seva tala, així com les diferències entre el suro d'alta i baixa qualitat. A Corkland volem marcar tendència amb al natural i innovador, totalment diferent al que ja coneixem, per això hem escollit el suro perquè reuneix totes les condicions necessàries per a això. I vosaltres...us animeu amb el suro? Veniu a conèixer el nostre petit país del suro, segur que us encantarà!!!<br />
<br />
Aquesta organització està adherida al <a href=""http://turismesostenible.barcelona/"" target=""_blank"">compromís</a> per a la Sostenibilitat Turística Barcelona Biosphere.<br />
 Editar",http://www.corkland.es,"Carrer València, 465 ",Eixample,Sagrada Família,"('41,40365231', '2,17782283')",beverages,,,,
916,Carnisseria Santa Gemma,"Carnisseria i alimentació de proximitat (Vedella de Girona, Pollastre de l'Empordà. Productes elaborats locals, embotits, pasta de Sant Hilari. Algun elaborat de fabricació pròpia) i algun producte ecològic (Ous, Alguns productes de pasta, Cremes de verdures. Pollastre eco per encàrrec).",,"Manila, 51",Les Corts,Pedralbes,"('41,38996992', '2,12564377')",green space,,,,
917,Conillas Garden Center,"En aquest centre de jardineria donen prioritat als productors de plantes locals; així com en testos de terracota.<br />
Tenen oferta de fitosanitaris ecològics. També venen llenya i carbó vegetal ecològic.<br />
Ofereixen testos de plàstic reciclat i cistelleria feta a partir de cintes d'embalar. Potencien com a substitut del test petit el test fet a partir de fibra de coco.<br />
Tenen productes per fomentar la biodiversitat: per atreure papallones, capses d'ocells, hotels per a insectes.<br />
També el necessari per a muntar murs verticals i piscines ecològiques.<br />
<br />
Fan venda de terra per a jardineria a granel.<br />
L'embalatge és a base de bosses de paper, capses de cartró, bosses compostables, paper de seda.<br />
<br />
Les etiquetes i les targetes són fetes de paper reciclat.<br />
<br />
Fan tallers d'hort urbà, de sabons naturals, de coquedames (en test de coco), per a fomentar el compostatge, d'hort escolar.",http://www.conillas.com,"Avda. d'Esplugues, 74-76",Les Corts,Pedralbes,"('41,39001950', '2,10993340')",vegan food,,,,
921,La Casa de los Vinos. Bodega Artós,"Venda de vins, licors, olis i vinagres.<br />
Part de l'oferta de proximitat, una part amb certificació ecològica. Alguns vins biodinàmics.<br />
Venda de vi i licors a granel.",https://www.bodegaartos.com/,"Pl. Artós, 11",Sarrià - Sant Gervasi,Sarrià,"('41,39562460', '2,12532790')",supermarket,,,,
922,Kidani Complements,Disseny i confecció de complements. El disseny i confecció de bosses és propi d'Ana Puiggrós Gil. La roba de cotó i lli és teixida a Sant Just.,,"Passatge de Senillosa, 3",Les Corts,Pedralbes,"('41,39547230', '2,12504510')",local food,,,,
923,mtfarmàcia,"La filosofia de la farmàcia busca productes sostenibles, especialitzada en la cura de la dona i els bebés:: Salvaeslips, compreses i tampons de cotó orgànic certificat, copa menstrual, infusions certificades Bio, productes certificats per a bebé,...; Cosmètica bio certificada; alguns productes d'alimentació eco certificats.<br />
<br />
 ",http://www.mtfarmacia.com,"Sabino Arana, 18",Les Corts,La Maternitat i Sant Ramon,"('41,38537690', '2,12557460')",bakery,,,,
928,Ferreteria Cantàbria,"Ferreteria que ven ferratges a granel (cargols,...), així com material de construcció a pes i fusta al tall.<br />
Ven carretons per la compra, reductors d'aigua per aixetes, bombetes de led i de baix consum, carregadors de bateries, gerres ""Brita"" i filtres, bosses porta-aliments.",,"Cantàbria, 43",Sant Martí,Sant Martí de Provençals,"('41,42094140', '2,19942890')",local food,,,,
929,C.Art,"Botiga-taller de restauració i reciclatge, fent servir per la restauració productes ecològics. Venda de productes restaurats.",http://www.c-art-restaura.com,"Menorca, 8-10",Sant Martí,Sant Martí de Provençals,"('41,41727080', '2,19396930')",vegan food,,,,
930,Tugas i Companyia,"Fruita i verdura ecològica de collita pròpia,  diversos productes ecològics i/o de proximitat. Destaquem les mongetes del ganxet que es venen a granel, els ous de Can Reinal, la mel Llàgrimes de Ra, o l’oli de Mas del Ros, tot ecològic. Altres productes orgànics que hi podeu comprar són les patates xips, sucs, crema de verdures i vins i caves del Penedès. També tenen llavors ecològiques i venen bitsy bags. Actualment es troba al mercat provisional de Sant Andreu, al carrer de Sant adrià num. 20, parada 153.",http://www.tugasicompanyia.cat,"Carrer de Sant Adrià, 20",Sant Andreu,Sant Andreu,"('41,43368810', '2,19163040')",restaurant,,,,
931,Cansaladeria Puig,"Carns de poltre, vedella i xai ecològiques, formatge i ous ecològics. Carn de la Seu d'Urgell i Osona. Algun formatge de proximitat. Embotit cuït i sobrassada d'obrador propi. Redueixen l'utilització de plàstic amb embolcalls de paper parafinat.",http://www.cansaladeriapuig.com/es/index.html,"Gran de Sant Andreu, 147",Sant Andreu,Sant Andreu,"('41,43195300', '2,18923620')",others,,,,
940,Fruiteca,"Fruiteria amb verdures i fruites de qualitat, les més fresques i tot de proximitat, del negoci familiar de Tordera.<br />
Tenen bosses de paper reciclat, sucs, mermelades...etc.",https://www.fruiteca.cat,"Aribau, 156",Eixample,L'Antiga Esquerra de l'Eixample,"('41,39225540', '2,15439900')",vegan food,,,,
941,Farmàcia Ana Maria Sans Alvarez-Montesinos,"Farmàcia que ofereix productes ecòlogics com compreses de cotó, copa menstrual...etc",,"Carrer de Villarroel, 251",Eixample,L'Antiga Esquerra de l'Eixample,"('41,39182600', '2,14774860')",supermarket,,,,
942,Farmàcia Santiago Rosón,"Farmàcia situada al centre de Barcelona on es poden trobar productes ecològics d'higiene íntima, dental, cosmètica...",,"Carrer de Pau Claris, 111",Eixample,Dreta de l'Eixample,"('41,39178940', '2,16802120')",others,,,,
943,Queviures J.Serra,"Botiga de queviures amb venda de productes ecològics, embotits a granel i vins i melmelades de proximitat, entre altres.",,"Carrer de Girona, 13",Eixample,Dreta de l'Eixample,"('41,39144080', '2,17533790')",beverages,,,,
944,Farmàcia Galup,"Farmàcia amb molts anys d'experiència a la ciutat de Barcelona amb productes ecològics i de proximitat, com per exemple linea de cosmètics, higiene íntima...",www.farmaciagalup.com,"Carrer de Pau Claris, 83",Eixample,Dreta de l'Eixample,"('41,38968510', '2,17067810')",local food,,,,
945,Farmàcia Veciana,"Farmàcia amb secció de productes ecològics de cotó orgànic, copa menstrual, etc i altres de proximitat. A més, utilitzen bosses de paper compostable.",,"Carrer de Casp, 68",Eixample,Dreta de l'Eixample,"('41,39200680', '2,17439330')",bakery,,,,
946,Floristeria Noves Flors,"Floristeria on trobar flors de proximitat, concretament del Maresme i dels voltants de Barcelona. Utilitzen bosses de paper reciclat.",,"Carrer de Casanova, 189",Eixample,L'Antiga Esquerra de l'Eixample,"('41,39257110', '2,14910510')",vegan food,,,,
947,Alimentació Queviures La Torra,"Botiga d'alimentació amb venda de productes de proxmitat com fruites i verdures procedents del Maresme, entre altres.",,Carrer de Casanova 170,Eixample,L'Antiga Esquerra de l'Eixample,"('41,39098420', '2,15163250')",bakery,,,,
948,Farmàcia Clapès Billoch,Farmàcia que ofereix productes ecològics com compreses de cotó orgànic i alimentació bio.,http://www.farmaciaclapesbilloch.com/,"Carrer d'Enric Granados, 117",Eixample,L'Antiga Esquerra de l'Eixample,"('41,39304960', '2,15524860')",others,,,,
949,Perruqueria La Bio Pelu,Perruqueria amb venda de productes i tractaments ecològics per al cabell. Fan coloració vegetal amb aigua osmotizada i comptem amb filtres de carboni en el saló. Ara han implementat una linea de cosmetica de Catalunya.,https://www.labiopelu.com,"Carrer de Provença, 146",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38745970', '2,15218030')",local food,,,,
950,Ferreteria Suministros Carles,"Ferreteria que ofrece pilas recargables, bock and roll, leds...",,"Carrer d'Aragó, 132",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38500730', '2,15571070')",local food,,,,
951,Floristeria Magda Flor S.L.,Floristeria que ven tot tipus de flors dels voltants de Barcelona.,www.magdaflor.com,"Carrer de Sepúlveda, 131",Eixample,Sant Antoni,"('41,38154300', '2,16011700')",beverages,,,,
952,Jo també sóc al·lèrgic,"Botiga amb venda de tot tipus de producte ecològic, sobretot amb productes especials per persones amb al·lèrgies i intoleràncies alimentàries.",www.jotambesocallergic.cat,"Carrer de Vilamarí, 26",Eixample,Sant Antoni,"('41,37639400', '2,15291930')",green space,,,,
963,Ferreteria E35,"Venda a granel de ferratges (cargols,...). Productes per ajudar als clients a fer una compra més sostenible: bombetes led,  gerra d'aigua filtrada ""Brita"" i filtres,...",,"Carrer d'Entença, 35",Eixample,Sant Antoni,"('41,37703210', '2,15371000')",green space,,,,
964,La Dietètica,"Productes d'alimentació ecològica, complements alimentaris i cosmètica certificada bio.",https://www.ladieteticabarcelona.com,"Carrer de Mallorca, 127",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38721930', '2,15341010')",supermarket,,,,
965,Gra de Gràcia Cigne,"Botiga de venda de producte a granel de proximitat i ecològic. Ofereixen envasos biodegradables, bosses de paper o envasos de vidre i bosses de roba reutilitzables. Més l’opció de portar el propi envàs i tenir descompte. També tenen begudes i productes aptes per intoleràncies alimenticies. ",https://gradegracia.cat/,"Carrer del Cigne, 10",Gràcia,Vila de Gràcia,"('41,40068840', '2,15390710')",supermarket,,,,
966,El CamBio Lógico,La primera botiga Zero Waste en Barcelona. Vine i descobreix com pots viure sense plàstic i de manera més sostenible.,https://elcambiologico.com/,"Carrer de Sant Cristòfol, 15",Gràcia,Vila de Gràcia,"('41,39955570', '2,15421560')",beverages,,,,
967,Skunkfunk,,https://www.skunkfunk.com/es/,"Carrer de Verdi, 14",Gràcia,Vila de Gràcia,"('41,40347700', '2,15747600')",green space,,,,
968,Selvatika,"Selvatika és una tenda de moda conscient per a dona, inspirada en la naturalesa i la seva delicada bellesa. Les nostres peces són absolutament confeccionades a Barcelona: comprem les teles aquí, dissenyem les peces nosaltres mateixos, i la confecció també es du a terme entre el nostre taller i d'altres de la ciutat.<br />
A més, tenim a la venda peces úniques ja que treballem amb retalls de roba i per tant no tenim grans col·leccions.<br />
<br />
Podeu trobar més informació a www.selvatika.net, IG Selvatika.barcelona, FB Selvatika.",http://selvatika.net/,"Carrer del Torrent de l'Olla, 66 local 2",Gràcia,Vila de Gràcia,"('41,40046960', '2,15953890')",restaurant,,,,
969,VELVET BCN,"Som VELVET BCN, una botiga de productes sostenibles i de comerç just especialitzada en Moda Ètica i Sostenible i Cosmètica Natural.<br />
<br />
Respecte a la moda sostenible, escollim els nostres proveïdors pels seus productes fets amb materials orgànics, reciclats o fets amb materials que tenen un impacte positiu sobre el medi ambient. Treballem amb marques locals i també algunes d'internacionals. El fet de col·laborar amb marques de proximitat ens permet no sols promocionar el teixit del territori, reduir el nostre impacte mediambiental i alhora tenir un millor coneixement de les garanties laborals en la producció.<br />
<br />
Per tal de garantir una fabricació ètica en les marques internacionals el que fem és posar-hi el focus en els certificats que tenen tant els seus teixits i matèries primeres com en els seus processos i condicions laborals.<br />
<br />
L'actual situació de crisi sanitària ens ha dut a potenciar encara més la nostra presència com a botiga online. Aquest ha sigut l'impuls definitiu que necessitàvem per ampliar el nostre catàleg online. Per tal de garantir el major impacte positiu en els nostres enviaments, treballem amb Koiki, que creiem que ara per ara és la millor opció al mercat tan social com ecològica.",https://www.velvetbcn.com/es/,"Carrer de Verdi, 42",Gràcia,Vila de Gràcia,"('41,40431480', '2,15659340')",bakery,,,,
970,Casa Cerdanya,Carnisseria ecològica amb ramaderia pròpia a preus molt competitius. ,http://www.casacerdanya.com/,"Carrer Gran de Gràcia, 188",Gràcia,Vila de Gràcia,"('41,40307980', '2,15244520')",green space,,,,
971,VeGala,"La primera tienda de cosmética vegana de Barcelona, donde podrás encontrar productos selecionados con mucho amor, tanto en maquillaje como de higiene personal, con dos denominadores comunes: ser veganos y de calidad. <br />
<br />
Además de vender cosmética ofrecemos citas de maquillaje, cursos de automaquillaje individuales o en grupo, y realizamos talleres donde se fomentará un estilo de vida saludable, sostenible y natural. <br />
<br />
Un espacio innovador y fresco, que quiere acercar una cosmètica ""diferente"" a todo el mundo. ",https://www.vegala.es/,"Carrer de Santa Eugènia, 16",Gràcia,Vila de Gràcia,"('41,39993020', '2,15411350')",alimentation,,,,
972,Sunsais,"Trust what you wear” és l'eix que mou la nostra filosofia per fer créixer SUNSAIS. Neix de la idea de vestir amb peces plenes de valors; com l'ètica i el respecte. Amb la premissa que estiguin fetes per dissenyadors sostenibles que, al seu torn, comparteixin amb nosaltres boniques històries sobre els seus projectes i productes.",http://sunsais.com/,"Carrer de Ramón y Cajal, 34",Gràcia,Vila de Gràcia,"('41,40260260', '2,15866880')",supermarket,,,,
973,Alone perruqueria,"Productes orgànics, on la persona és el més important i l'atenció és atenta i especial. Orgànic en producte, tracte i preu. A més, es poden comprar productes ecològics i a granel. ",,"Carrer de Ribes, 30-32",Eixample,Fort Pienc,"('41,39738450', '2,18271020')",bakery,,,,
974,Alone perruqueria,"Slow perruqueria. Productes orgànics, on la persona és el més important i l'atenció és atenta i especial. Orgànic en producte, tracte i preu. A més, es poden comprar productes a ecològics i a granel. ",,"Carrer Nou de la Rambla, 138",Sants - Montjuïc,El Poble Sec,"('41,37314530', '2,16800100')",others,,,,
977,Verduleria Aproxima't,"Fruita i verdura de proximitat i de temporada amb selecció de productes ecològics. Productes d'alimentació envasats bio, cremes i làctics de proximitat. Han introduït bosses de paper.",,"Carrer de Floridablanca, 138",Eixample,Sant Antoni,"('41,38114000', '2,16250750')",green space,,,,
978,Cerveseria Okasional Beer,Cerveses de proximitat i artesanes,www.okasional-beer.com,"Carrer de Casanova, 11",Eixample,Sant Antoni,"('41,38229730', '2,16254200')",restaurant,,,,
979,Farmàcia Reverter Agüerai,"Fan fòrmules magistrals.<br />
Tenen una línia cosmètica bio pròpia.<br />
Venen higiene íntima de cotó orgànic.",,"Carrer de Viladomat, 90",Eixample,Sant Antoni,"('41,37915890', '2,15819600')",others,,,,
980,Marc Vidal Taula i Cuina,"Establiment amb venda de productes sostenibles com ampolles de plàstic reutilitzables, ""Bock & roll"", carmanyoles i paelles sense PFOA.",,"Carrer de Tamarit, 162",Eixample,Sant Antoni,"('41,37987160', '2,16273200')",others,,,,
981,El racó de la Rosa,"Productes d'alimentació ecològics envasats.<br />
Herbes a granel.<br />
Cosmètica bio.<br />
Higiene íntima de cotó orgànic. Copa menstrual.<br />
Bosses compostables.",www.elracodelarosa.cat,"Avinguda de Mistral, 10",Eixample,Sant Antoni,"('41,37755290', '2,15886210')",supermarket,,,,
982,Dietètica l'Arbre de Vida,"Comerç que ofereix productes d'alimentació ecològics envasats, fruita i verdura de producció ecològica de proximitat i ous i herbes medicinals a granel.",http://www.arbredevida.cat/,"Carrer de Calàbria, 162",Eixample,La Nova Esquerra de l'Eixample,"('41,38249190', '2,15152150')",beverages,,,,
983,Farmàcia Dalmases,"Fòrmules magistrals, higiene íntima de cotó orgànc, copa menstrual, cosmètica natural...",https://guia.barcelona.cat/es/detall/farmacia-dalmases_75990225321.html,"Carrer d'Aragó, 97",Eixample,La Nova Esquerra de l'Eixample,"('41,38209740', '2,15129400')",vegan food,,,,
984,Floristeria Contxa Marquez,"Floristeria on trobar plantes d'exterior de proximitat, concretament de Vilassar, i productes ecològics pel tractament de les plantes i flors.",https://www.contxamarquez.com,"Carrer d'Aragó, 124",Eixample,La Nova Esquerra de l'Eixample,"('41,38449170', '2,15503920')",supermarket,,,,
986,Home on Earth. Raval,"Home on Earth neix al 2001 de la mà d'una parella danesa-alemany, obren la primera de les seves botigues el 2010, la segona al 2014 i a inicis de l'any 2019 obren la tercera botiga a Barcelona. Ofereixen productes naturals i sostenibles per la llar amb un disseny nordic.<br />
<br />
Treballen conjuntament amb artesans d'arreu amb els qui han conviscut durant anys, sempre amb els mateixos i amb un tracte directe i just. Dins de la seva exquisita varietat pots trobar articles per la casa, utils de cuina, artícles de yoga, hamaques, bosses, joyeria... A més a més, treballen amb associacions socials inclusives com Estel Tapia o Barmhärzige Brüder a Austria.<br />
<br />
Home on earth utilitza quasi de forma exclusiva materials naturals com bambú, llana, coco, mango, cotó i cànem. L’ús de materials reciclats i reutilitzats, així com l’eficiència energètica són conceptes clau a l’hora de seleccionar nous productes per a la venda. ",http://www.homeonearth.com/,"Carrer de l'Hospital, 76",Ciutat Vella,El Raval,"('41,38013100', '2,16900790')",local food,,,,
987,Home on Earth. Born,"Home on Earth neix al 2001 de la mà d'una parella danesa-alemany, obren la primera de les seves botigues el 2010, la segona al 2014 i a inicis de l'any 2019 obren la tercera botiga a Barcelona. Ofereixen productes naturals i sostenibles per la llar amb un disseny nordic.<br />
<br />
Treballen conjuntament amb artesans d'arreu amb els qui han conviscut durant anys, sempre amb els mateixos i amb un tracte directe i just. Dins de la seva exquisita varietat pots trobar articles per la casa, utils de cuina, artícles de yoga, hamaques, bosses, joyeria... A més a més, treballen amb associacions socials inclusives com Estel Tapia o Barmhärzige Brüder a Austria.<br />
<br />
Home on earth utilitza quasi de forma exclusiva materials naturals com bambú, llana, coco, mango, cotó i cànem. L’ús de materials reciclats i reutilitzats, així com l’eficiència energètica són conceptes clau a l’hora de seleccionar nous productes per a la venda. ",http://www.homeonearth.com/,"Carrer de l'Espaseria, 4",Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","('41,38326170', '2,18219900')",bakery,,,,
1034,Cal Forner,"Forn de pa artesà amb 100 anys d'història, on encara fan el pa al seu propi obrador com es feia antigament, amb farines ecològiques i massa mare.",,"Carrer de Joan Güell, 125",Les Corts,Les Corts,"('41,38153830', '2,13191660')",green space,,,,
1107,Darthy,"Compra-Venda, reparació i restauració d'aparells d'electrònica convencional (no digital): hi-fi, ràdios, fotografia,...",,"Floridablanca, 114",Eixample,Sant Antoni,"('41,37993590', '2,16067100')",beverages,,,,
1108,Velociutat,Botiga i taller de bicicletes. Restauració de bicicletes antigues,,"Viladomat, 14",Eixample,Sant Antoni,"('41,37593290', '2,16257870')",restaurant,,,,
1112,Hierbalimón,"Dietètica i alimentació ecològica, de proximitat i de comerç just.<br />
Participa a l'App ""To good to go"" en què ofereixen productes amb data de caducitat propera a millor preu.",,"Entença, 181",Eixample,La Nova Esquerra de l'Eixample,"('41,38489140', '2,14345890')",beverages,,,,
1113,Forn Provença,"Forn artesà amb obrador propi de pa i bolleria. Ús de farines ecològiques, de proximitat (Banyoles, Cervera). Bosses de paper.",,"Provença, 69",Eixample,La Nova Esquerra de l'Eixample,"('41,38518240', '2,14842000')",alimentation,,,,
1114,Cellarer,"Vins de proximitat,  quasi tots ecològics i biodinàmics",,"Aribau, 76",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38938670', '2,15823730')",others,,,,
1115,Fruiteria Alcaley,"Fruita i verdura, el que es pot de proximitat. En temporada també producte ecològic: taronges i clementines",,"Consell de Cent, 271",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38765390', '2,16080790')",alimentation,,,,
1116,Papereria Emilio Segarra,"Material d'oficina i papereria. Paper i llibretes de paper reciclat, certificat. Material d'escriptura amb recanvi, de plàstic reciclat.<br />
Subministradors de material d'oficina sostenible per encàrrec.",www.papeleriasegarra.com,"Muntaner, 63",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38660810', '2,15903030')",supermarket,,,,
1117,Beiropack,"Envasos compostables, biodegradables i de cartró per la venda a hosteleria i al detall.",www.crojas.com.es,"Consell de Cent, 223",Eixample,L'Antiga Esquerra de l'Eixample,"('41,38543450', '2,15797490')",bakery,,,,
1118,L'Artesà de Vic,"Venta de carns i embotits de qualitat, de proximitat, algunes ecològiques. Pel que fa a les safates on envasen la carn, aquestes són biodegradables i, a més, admeten compres amb carmanyola reutilitzable dels clients. ",https://www.eixfortpienc.com/cat/soci/l-artesa-de-vic,"Diputació, 480",Eixample,Fort Pienc,"('41,40214780', '2,18293300')",vegan food,,,,
1119,Forn Lacatarga,"Forn de pà i pastisseria artesà amb obrador propi. Farines ecològiques, de proximitat (Farinera Roca de Lleida). Bosses de paper",,"Roselló, 278",Eixample,Dreta de l'Eixample,"('41,39887440', '2,16515200')",others,,,,
1120,Ekoteràpia,"Alimentació envasada ECO, tès a granel, algun ECO. Es ven en bosses de paper i molts clients les reutilitzen. Disposen també de sucre de canya de comerç just.<br />
Són punt de recollida de Cistelles de fruita i verdura ECO (Tugas i Companyia.)",https://www.gaudishopping.cat/es/socio/ekoterapia,"Indústria, 159",Eixample,Sagrada Família,"('41,40999080', '2,17475450')",alimentation,,,,
1121,Ven Vegano,Alimentació vegana envasada en la major part ecològica. Algun producte de comerç just. Higiene per la llar ecològica. Paper de WC reciclat. Higiene íntima de cotó orgànic. Vaixella de cartró. Bosses de paper i compostables.,https://www.venvegano.com,"Carrer Padilla, 266",Eixample,Sagrada Família,"('41,40682820', '2,17588890')",restaurant,,,,
